Stock Price,Analytic,BT,MC,FD
,"Strike Price: 50, Interest Rate: 0.1, Volatility: 0.4, Period: 0.4167",,,
1,46.959312990813835,49.0,48.995422609837895,49.0
2,45.959312990813835,48.0,47.991324242662,48.0
3,44.959312990813835,47.0,46.99041449925463,47.0
4,43.959312990813835,46.0,45.98157687418972,46.0
5,42.959312990813835,45.0,44.98221135446277,45.0
6,41.959312990813835,44.0,43.9729399494866,44.0
7,40.959312990813864,43.0,42.96892655072225,43.0
8,39.959312990815235,42.0,41.968044979737584,42.0
9,38.95931299084995,41.0,40.97531870114831,41.0
10,37.959312991370425,40.0,39.96081097252546,40.0
11,36.95931299657494,39.0,38.94116489320131,39.0
12,35.95931303426012,38.0,37.94922324132894,38.0
13,34.95931324427833,37.0,36.93804884740998,37.0
14,33.95931418776847,36.0,35.93574393611228,36.0
15,32.95931772912984,35.0,34.93819178117293,35.0
16,31.959329152801956,34.0,33.927631896764545,34.0
17,30.95936154443337,33.0,32.92737444930636,33.0
18,29.95944376418433,32.0,31.90686444340517,32.0
19,28.959633402272548,31.0,30.939651563817147,31.0
20,27.960035795901305,30.0,29.91352859091039,30.0
21,26.96082946192885,29.0,28.927955841580097,29.0
22,25.96229724992172,28.0,27.88696764069112,28.0
23,24.96486134514167,27.0,26.863065129323314,27.0
24,23.969119201795518,26.0,25.892007114805768,26.0
25,22.97587679354533,25.0,24.89541316780548,25.0
26,21.9861753799523,24.0,23.900901740401455,24.0
27,21.001308342779772,23.0,22.884427499754032,23.0
28,20.022825476230448,22.0,21.865509455335456,22.0
29,19.052523272683757,21.0,20.857438552603817,21.0
30,18.092421044400577,20.0,19.85880040948778,20.0
31,17.144723977791976,19.0,18.89135975027011,19.0
32,16.21177527874389,18.0,17.84684883853598,18.0
33,15.296000334240908,17.0,16.921827910296663,17.0
34,14.399846241609353,16.0,15.857979086316167,16.0
35,13.525720146553233,15.0,14.90273441407305,15.0
36,12.675929627505756,14.0,13.984304235922195,14.0
37,11.852627933402033,13.0,12.967677438140258,13.0
38,11.057766301789329,12.061220663369168,12.051292357085867,12.0
39,10.293054930092449,11.212291043506609,11.200818311357592,11.119614526004584
40,9.55993351147832,10.383277132218431,10.329878009602188,10.239229052009168
41,8.859551630798247,9.558270176852028,9.508682664790216,9.459648569975066
42,8.192758782470694,8.776158810920633,8.845797581625707,8.680068087940962
43,7.560103342566226,8.057414519205508,8.16845628870229,7.990030335436057
44,6.9618395100983115,7.442811049476921,7.426466215574883,7.299992582931152
45,6.3979410253423445,6.857697984679229,6.822699102088263,6.696285585576021
46,5.868120366016218,6.311707429343003,6.258769285684104,6.09257858822089
47,5.371852100688393,5.782561708382323,5.714312331911437,5.570597116967436
48,4.908399125811158,5.256853813710799,5.194990109153883,5.048615645713983
49,4.476840610863963,4.737834780207489,4.731444542904931,4.60245744143036
50,4.076100608769622,4.2202151415372695,4.271668470010352,4.1562992371467375
51,3.7049764414378856,3.857157424406857,3.8706533255485542,3.779064727621584
52,3.3621661308036117,3.5518919172177057,3.528899429918284,3.40183021809643
53,3.046294304419046,3.2595335944094628,3.1534760793296486,3.0860301091809825
