Stock Price,Analytic,BT,MC
,"Strike Price: 50, Interest Rate: 0.1, Volatility: 0.4, Period: 0.4167",,
1,1.5306184780364617e-149,0.0,0.0
2,5.722066874751587e-102,0.0,0.0
3,2.0889747643544136e-78,0.0,0.0
4,1.3513165361623375e-63,0.0,0.0
5,3.391058071560264e-53,0.0,0.0
6,2.1009256158655534e-45,0.0,0.0
7,2.6097672272761434e-39,0.0,0.0
8,2.1398902637174918e-34,0.0,0.0
9,2.4193084757888712e-30,0.0,0.0
10,6.119620101569786e-27,0.0,0.0
11,4.833537274497422e-24,0.0,0.0
12,1.5128315574523895e-21,0.0,0.0
13,2.2363129469342666e-19,0.0,0.0
14,1.7826994753897378e-17,0.0,0.0
15,8.489087587845288e-16,0.0,0.0
16,2.6169351815102828e-14,0.0,0.0
17,5.568497682412541e-13,0.0,0.0
18,8.614749144924581e-12,0.0,0.0
19,1.0110499519077313e-10,0.0,0.0
20,9.324287696598316e-10,0.0,0.0
21,6.959067907380035e-09,0.0,0.0
22,4.3087837393736906e-08,0.0,0.0
23,2.260398882412673e-07,0.0,0.0
24,1.023016143110739e-06,0.0,0.0
25,4.056982061864217e-06,0.0,0.0
26,1.4289084852184296e-05,0.0,0.0
27,4.522655890567547e-05,0.0,0.0
28,0.00012997104043452272,0.0,0.0
29,0.0003422203757038045,0.0,0.0
30,0.0008322606960606195,0.0,0.0010791844554010382
31,0.0018828101917429886,0.0,0.002210781127590198
32,0.003987608420973622,0.0,0.006068437088351427
33,0.007951584957259629,0.0016511534323227048,0.011607010053900626
34,0.015005689899186768,0.0056671692243841255,0.022405096215078725
35,0.026923202051648814,0.014259539227850343,0.028998901777209762
36,0.046119246035333204,0.029308426418041555,0.05382329531678271
37,0.07571305062552908,0.05470910356686627,0.08470705572957037
38,0.11953429231632991,0.09591102446786486,0.11670780391350871
39,0.18206081761773976,0.1565752889449564,0.18395802964519273
40,0.2682841618168269,0.24112589129757148,0.27272410834168076
41,0.38350978704702643,0.35561209164740704,0.37809122632357645
42,0.533108726111368,0.5047472308949289,0.5071247468378163
43,0.7222444509189145,0.6953476510777086,0.7345621373404496
44,0.9556020701787549,0.9290399523157393,0.9473733189601733
45,1.2371460701781076,1.2113563657017319,1.1820765930975403
46,1.56992826056026,1.5424820190856343,1.5037270852316564
47,1.9559605012785457,1.9279601523455636,1.8862935311232814
48,2.3961585771600764,2.3638548374822523,2.3041899354004642
49,2.8903556212013872,2.855905827060731,2.855033071761282
50,3.43737684842855,3.398116462246993,3.2825531445492793
51,4.035162712890793,3.9888411339278846,3.9005173713537373
52,4.680925167777621,4.630884227284894,4.60251353206843
53,5.371321349317127,5.315619130489052,5.282202579842323
54,6.102630319591347,6.0406351536881555,6.0393923014477
55,6.870920963963747,6.805108597429198,6.742486489477159
56,7.672202201099577,7.604260559662369,7.609836498986429
57,8.50254984930776,8.432641578934835,8.476026124439718
58,9.358207436519484,9.287499811487478,9.471279360479436
59,10.235660706188488,10.165329606580668,10.269851787706232
60,11.131687442146298,11.063571911721782,10.959865124591387
61,12.043385495331286,11.978614403349988,11.980379919098747
62,12.96818259765653,12.907485138469935,12.964144887615019
63,13.903831788491749,13.84769658668014,13.920903442166288
64,14.848396170005344,14.797554187961776,14.803202300895743
65,15.80022636125073,15.754982498258231,15.648889002470607
66,16.75793353667088,16.718348182048402,16.714268302954476
67,17.720360393554174,17.686167358549767,17.498204800031747
68,18.68655185453298,18.657541667046,18.628301070574803
69,19.655726815760882,19.63150656505509,19.81546088777557
70,20.62725182211784,20.607293848951343,20.716299604641396
71,21.600617197749123,21.584505560655014,21.604337052737684
72,22.575415883901655,22.56265853139288,22.548316523131454
73,23.55132503058404,23.54167438530311,23.754752407155706
74,24.52809024473659,24.521139965797868,24.658648452456067
75,25.505512304554625,25.500605546292622,25.435885215327716
76,26.483436096512587,26.48007112678737,26.290746803715457
77,27.46174150851647,27.459536707282123,27.39396465156783
78,28.44033601083474,28.439002287776866,28.277848796302962
79,29.419148668940192,29.418467868271627,29.298018025040157
80,30.39812535356955,30.397933448766373,30.28105667370217
81,31.377224939003057,31.377399029261124,31.390518318591955
82,32.35641630778723,32.35686460975588,32.41084194331802
83,33.33567600684914,33.33633019025063,33.32462075395075
84,34.3149864249057,34.31579577074539,34.25018584885932
85,35.29433438354926,35.295261351240136,35.35412248821076
86,36.2737100540838,36.27472693173489,36.250086374892525
87,37.25310612906059,37.25419251222964,37.39220582035508
88,38.23251719166116,38.23365809272439,38.416183086771746
89,39.21193923783719,39.21312367321914,39.184818660783954
90,40.19136931573291,40.1925892537139,40.17388885402045
91,41.170805254683664,41.172054834208645,41.10377903078669
92,42.150245462297754,42.1515204147034,41.973134181974146
93,43.129688773050326,43.13098599519815,42.75349912612004
94,44.10913433568613,44.11045157569291,43.99684950112153
95,45.08858152974445,45.08991715618765,45.09101261968222
96,46.06802990385588,46.06938273668242,46.2556072802795
97,47.04747913025871,47.048848317177175,46.78882155961157
98,48.026928971359034,48.02831389767193,47.99212917558948
99,49.00637925520606,49.00777947816667,49.11277133554345
